"a lot" "много, множество, масса"
many много
much много
"a bit" немного
"a bit later" "немного позже"
"a bit more" "еще немного"
"(am, are, is) going to" "собираться (сделать что-либо)"
few мало
"a few" несколько
abandon "покидать, отказываться от"
able "в состоянии, способный, умеющий, могущий"
above над
abroad "за границей"
absence "отсутствие, недостаток"
accept принимать
access доступ
accident "несчастный случай, авария"
accurate "точный, тщательный"
"achievement (эчивмент)" "достижение, успех, подвиг, выполнение"
"acquaintance (эквэйтенс)" знакомство
act "действовать, дело"
activity деятельность
actually "фактически, на самом деле"
add "добавить, сложить, прибавлять"
addition дополнение
adjust "приводить в порядок, улаживать"
admit "признавать, допускать"
adore обожать
adult взрослый
grown-ups взрослый
advance "продвижение, успех, прогресс, продвигаться, продвинутый"
advantage "преимущество, выгода, польза"
advertise извещать
announce "объявлять, извещать"
advertisement объявление
advice совет
afford "позволить себе, предоставлять, иметь, давать, доставлять"
afraid испуганный
scared испуганный
frightened "испуганный, напуганный"
"after all" "впрочем, в конце концов"
afternoon "дневное время"
again снова
against против
age возраст
ago "тому назад"
agree соглашаться
agreement соглашение
aid "помощь, поддержка"
aim цель
goal "цель, гол, задача"
purpose цель
alike похожи
alive живой
"all over" повсюду
everywhere "везде, повсюду"
"all the same" "все таки, все равно"
allow "позволять, допускать, разрешать"
almost почти
nearly "около, почти, приблизительно"
"pretty much" почти
alone одинокий
along вдоль
"along with" "вместе с"
already уже
"also (олсоу)" также
too "также, тоже, слишком"
"both (both national and international)" "оба, и тот и другой, также, одинаково(как национальных, так и международных)"
"as well" также
although хотя
still "все еще, до сих пор, все же, хотя"
though "однако, все же, хотя"
altogether "всецело, вполне"
always всегда
ever "когда-либо, всегда"
amazing поразительный
ambition "амбиция, стремление, мечта"
ambulance скорая
amenities "услуги, удовольствия"
among среди
amount количество
number "номер, количество, число"
ancestors предки
"and it goes without saying" "и само собой разумеется"
"and so on" "и так далее"
anew заново
another другой
different "различный, другой, разный"
"another point" "еще один момент"
anywhere "в любом месте, никуда, везде, никуда, где угодно"
"Apart (эпат)" "кроме, отдельно, обособленно, на части, порознь"
"apart from" кроме
besides "кроме того, помимо"
else "еще, иначе, кроме"
except "кроме, за исключением"
unless "если не, пока не, за исключением, 
кроме"
app приложение
appear появляться
appearance "появление, внешний вид, внешность"
applicant "заявитель, кандидат, абитуриент"
application "заявление, приложение, прошение"
"apply (эплай)" "подать заявление"
appointment встреча
"appreciate (апришиейт)" "ценить, оценивать, понимать"
approve одобрять
approximately "приблизительно, примерно"
"argue (аргии)" "спорить, аргументировать, доказывать"
arm рука
around "вокруг, около, кругом, вблизи, поблизости"
beside "рядом, возле"
by "у, рядом"
"next to" рядом
near рядом
"around doing nothing" "ничего не делая"
arrive "приходить, прибывать, приезжать"
"as a rule" "как правило"
"As far as I know" "на сколько я знаю"
"As for" "что касается"
"as soon" "как только"
aside "в сторону, в стороне"
ask "спрашивать, просить"
assert утверждать
assure уверять
"at ... o'clock" "в … часов"
"at all" совсем
"at least" "по крайней мере"
"at night" "По ночам, ночью"
"at noon" "В полдень"
"at once" "сразу, тотчас, одновременно"
"at present" сейчас
"at short notice" "тотчас же"
"at soon" "в ближайшее время, скоро, вскоре"
"at this moment" "в этот момент"
attack нападение
attempt попытка
attend посещать
attended "участие, посещать, заниматься"
attention "внимание, забота, уход"
attitude "отношение к, позиция"
attract привлекать
attractive "привлекательный, притягательный"
aunt тетя
autumn осень
average "в среднем"
avoid избегать
awaken "пробуждать, просыпаться"
award "награда, награждать"
away "далеко, прочь, приставка ""у"" к глаголу"
back "спина, назад, обратно"
"back up" поддерживать
"bad - worse - the worst" "плохой – хуже – самый плохой"
badge значок
badly плохо
bag "мешок, сумка, чемодан"
barber парикмахер
"barrel (баррэл)" бочка
"be bored" скучать
"be born" родиться
"be interested in" интересоваться
"be married" "быть женатым"
"be single" "быть холостым"
beautiful красивый
beauty красота
"because of" "потому что"
bedroom спальня
beef говядина
before "перед, раньше"
beforehand заблаговременно
behave "вести себя"
behavior "поведение, поступки, манеры"
"being (биенг)" "существо, бытие, являющийся, находящийся"
belief "вера, убеждение"
believe верить
bell "колокол, звонок"
below ниже
bench скамья
benefit "пособие, выгода, приносить пользу"
betray "предавать, изменять"
better лучше
bill счет
bird птица
blade лезвие
blame "обвинять, упрек, осуждение, осуждать"
blind слепой
block "жилой дом"
boat "лодка, судно"
book "книга, заказывать (билет)"
booking резервация
boring "скучный, бурение, сверление"
both оба
branch ветка
"brand new" "совершенно новый"
brave "храбрый, смелый"
break "ломать, перерыв, разрыв"
breathe "дышать, вдыхать"
bright яркий
brightly ярко
bring "приносить, приводить"
"bring in" вносить
"bring out" выносить
"bring up" воспитывать
brittle хрупкий
brown коричневый
brush "щетка, чистить щеткой, причесывать"
"bucket (бакит)" ведро
build строить
building здание
burst "взрыв, лопнуть, разрывать"
busy занятый
but но
"but in spite of it" "но не смотря на это"
button пуговица
buy покупать
"by accident" нечаянно
accidentally "случайно, нечаянно"
"by chance" случайно
"by heart" "наизусть, на память"
"by mistake" "по ошибке"
"by road" "наземным транспортом"
"by the way" кстати
"by themselves, by yourself" самостоятельно
call "звать, навещать"
"call out" "вызывать, выкрикивать"
calm "спокойный, спокойствие, успокаивать"
camp лагерь
can "мочь, уметь"
cancel "отмена, Отставить! (военн.), отменять, аннулировать"
canteen "столовая, буфет"
care забота
carefully "внимательно, осторожно, тщательно"
carnet паспорт
carpet ковер
carry нести
"carry on" продолжать
"continue, go on" продолжаться
"proceed 
(proceed with you story)" "продолжать
(продолжайте свою историю)"
"carry out" "осуществлять, проводить"
casual "повседневная, случайная"
catch "поймать, ловить, улов, выгода"
cathedral собор
cause причина
ceiling столовая
celebration праздник
"cell phone" "сотовый телефон"
certainly "Конечно! Непременно!"
chair стул
change "изменение, перемена, изменять, менять"
chapter глава
charge "заряжать, заряд, обязанности, поручать"
cheaply дешево
cheerful "веселый, бодрый"
merry веселый
chest грудь
childhood детство
children дети
choice "выбор, отбор, лучший"
cinder пепел
circle "круг, кружок"
circuit "схема, цикл, цепь, контур"
claim "утверждать, претендовать, утверждение, претензия"
classmate одноклассник
clean чистый
clear "ясный, чистый"
clearly "Очевидно, ясно"
clever умный
intelligent "умный, смышленый"
cloakroom "гардероб, раздевалка"
close "близкий, тесный, закрывать"
coach тренер
coast побережье
coats "пальто, пиджак"
coincide совпадать
coincidence совпадение
cold "холодный, простуда"
"collect (кэллект)" "собирать, отбирать"
collision столкновение
"come from" происходить
"come out" "выходить, выступать, вылезать, появляться"
comfortable "удобный, комфортный"
"common (комэн)" "общий, распространенный, обычный"
"common people" народ
communicate общаться
compare сравнивать
competition "конкуренция, соревнование"
"complain (кэмплейн)" жаловаться
complete "полный, законченный, полностью, совершенно"
completely "полностью, совсем"
complicated сложно
"conclusion (кэнклюжен)" заключение
confidence доверие
confirm подтвердить
consequences последствия
consider "рассматривать, полагать, считать, учитывать"
considerably "значительно, изрядно"
"consist of (кэнсист)" "состоять из"
constantly постоянно
construction строительство
contain содержать
contents "содержание, содержимое, доволен"
contest соревнование
contribution "вклад, взнос, содействие"
convenient удобный
conversation "разговор, беседа"
cool прохладный
"cooler, fridge" холодильник
coped справлялся
corner угол
"correct (кэрэкт)" исправлять
"could run" "может работать"
"couple (капл)" "пара, соединяться"
courage "мужество, храбрость"
course "курс, блюдо, направление"
cover накрывать
crash врезаться
creature существо
creed "кредо, вероучение"
cross "переходить, пересекать"
"crowd (крауд)" толпа
crowded переполненный
"cruel (крул)" "жестокий, безжалостный"
"culture (колчер)" культура
cunning хитрый
"currency (каренси)" валюта
custom "изготовленный на заказ, обычай"
customer "клиент, заказчик"
"customs (кастемз)" таможня
cut "резать, стричь, разрез, порез, рана"
"cutting (катин)" "отросток, побег"
daily ежедневный
damage "вред, повреждение"
dark темный
darkness темнота
darling "любимый, любимая"
"days off" "выходные дни"
daytime "дневное время"
deal "сделка, иметь дело"
dear "дорогой, любимый, возлюбленный"
decent "порядочный, приличный"
decide решаться
decision решение
decorate "декорировать, украшать"
deep глубокий
defect "дефект, недостаток"
definite "определенный, точный, ясный"
definitely "решительно, определенно"
degree "градус, степень, уровень"
delay откладывать
delicious "очень вкусный"
delight восторг
"deny (динай)" "отрицать, отвергать"
department "отдел, отделение, факультет"
"department store" "универмаг, промтовары"
depend зависеть
describe описывать
description описание
desire "желание, пожелание, страсть"
destroy уничтожать
device "устройство, прибор"
devise "разрабатывать, изобретать"
devoted преданный
"diet (диит)" питание
differ отличаться
difficult трудный
dig копать
"dig out" выкапывать
diligent старательный
dinner "ужин, обед, банкет"
dip "погружать, окунать"
direction направление
dirt грязь
dirty грязный
disadvantage "невыгода, невыгодное положение"
disadvantage недостаток
disappear исчезать
disappointed разочарованный
discover "открыть, открывать, обнаруживать, находить"
discuss обсуждать
"disease, sickness, illness" болезнь
disillusion разочарование
dislike "не любить"
distinction "различие, отличие"
district "район, делить на районы, районный"
disturb "мешать, беспокоить"
dive нырять
divide "делить, разделяться, отделяться"
"doing nothing" "ничего не делать"
doll кукла
doubt сомнение
"drastically (драстикли)" кардинально
"drawback (дроубэк)" недостаток
dreadful "страшный, ужасный"
dress "платье, одежда, одеваться, парадный, плательный"
"driving licence" "водительские права"
drop "капля, уронить"
dry "сухой, сушить"
dubious "сомнительный, подозрительный"
"due to" "в связи, из-за"
dull скучный
during "в течение"
dust пыль
duty "пошлина, сбор"
each "каждый, всякий"
"each other" "друг друга"
ear ухо
early рано
easier легче
education "образование, обучение, воспитание"
effort усилие
egg яйцо
elder старший
embrace "охватывать, обнимать"
empty пустой
encourage поощрять
enjoy наслаждаться
enjoyable "приятный, доставляющий удовольствие"
enough достаточно
enter "входить, проникать"
entertainment "развлечение, увеселение"
entire "весь, полный, целый"
entrance подъезд
entry "запись, вход, вступление"
equipment "оборудование, оснащение"
escape "побег, выход, бежать, вырваться"
especially особенно
etc "и так далее"
even "даже, ровно, ровный"
evening вечер
exactly Именно!
exam экзамен
example пример
excellent "отличный, превосходный"
exchange обмен
exciting "захватывающий, волнующий"
excuse прощать
exercise упражнение
existence существование
expand "расширять, развивать"
expect ожидать
expensive "дорогой, дорогостоящий"
experience "опыт, опыт работы, переживание, стаж"
explain объяснять
express "выражать, высказываться"
fabulous невероятный
fail "терпеть неудачу, отказывать, выходить из строя, провал, неудача"
failure "Неудача, провал, неудачник"
faint "падать в обморок"
fair "светлый, справедливая, честно, ясно"
"fairly (fairly approximately)" "довольно, достаточно (достаточно, приблизительно)"
fairy "фея, волшебница"
fairy-tale сказка
faith "вера, доверие"
faithful верный
fall падать
"fall down" упасть
"fall out" выпадать
familiar знакомая
fancy "воображение, представлять себе"
far далеко
"far - farther - the farthest" "дальний – дальше – самый дальний"
fast скорый
fat "жир, толстый"
fate "судьба, участь"
fault "вина, неисправность, ошибка, дефект, придираться"
favor одолжение
favourite "любимая, излюбленная"
feed кормить
feel "чувствовать, щупать, трогать, осязать, искать на ощупь"
"feels sad" грустно
"feels sorry" жаль
fiction "фантастика, вымысел"
fill наполнять
find находить
"find out" "обнаруживать, разузнавать"
fine "штраф, оштрафовать, прекрасно, прекрасный"
firm "фирма, торговый дом, твердо, крепко"
"first of all" "прежде всего"
fish рыба
fit соответствовать
fitting-room примерочная
fix "фиксировать, исправлять, чинить, ремонтировать"
"fix up" "устроить, организовать"
flat квартира
flooded "затопленный, затоплять, заливать"
floor "этаж, пол"
flow течь
fog туман
foggy туманный
follow следовать
following следующий
fond любящий
food "еда, питание"
foolish глупый
for "в течение"
"for a change" "для разнообразия"
"for a while" "на некоторое время"
"for ages" "целая вечность, очень долго"
"for his sake" "ради него"
"for instance" например
force сила
foreign иностранный
forget забывать
forgive прощать
form "форма, вид, класс"
forward вперед
found "основывать, основываться, найденный"
foundation "фонд, учреждение, основание"
frank "откровенный, искренний"
free свободный
freeze замораживать
frequently часто
"friendly terms" "дружеские отношения"
frighten пугать
frontier граница
"full of pride" "полный гордости"
fun "забава, веселье"
funny смешной
further дальше
"furthermore (фёзэмоо)" "более того"
gadget приспособление
gain "получать, набирать, усиление, прирост"
gate "ворота, калитка"
gather собирать
generally "вообще, обычно, как правило"
get 
"get + существительное / местоимение" "получить, доставить, приобрести, достать, принести"
"get + прилагательное
The baby got hungry" "переход в другое состояние, становиться (ребенок проголодался)"
get "получать, попасть, становиться, добираться, приобретать, сесть, доставать, покупать, понимать"
"get to" уговаривать
"can he get this report by morning?" "Сможет он закончить этот отчет к утру?"
"i got there by train" "Я добрался туда на поезде"
"it is getting late and dark
i’m getting cold" "Вечереет и становиться темно
Я начинаю замерзать"
"get back" вернуться
"get hold of sthg" "суметь охватить"
"get in touch with" "связаться с кем-либо"
"get lost" потеряться
"get one's way" "добиться своего"
"get out" "выходить, выбираться"
"get ready" приготовиться
"get up" вставать
"get used to" привыкать
"getting away with" "сходит с рук"
gift "подарок, дар, талант"
"give a hand with sthg" "помочь в чем-либо"
"give up" сдаваться
glad довольный
gloomily мрачно
"go ahead" "вперед! Напролом!"
"going in for sport" "заниматься спортом"
good хороший
"good - better - the best" "хороший – лучше – самый лучший"
good-looking симпатичная
goods товар
gradually постепенно
graduating "Окончание (учебное заведение), располагать по порядку"
grateful благодарный
great "большой, великий"
grow расти
guess отгадывать
habit привычка
half половина
hall зал
"hand round" раздавать
hang "вешать, висеть"
happen "случаться, происходить"
hard "сильно, изо всех сил"
hardly едва
hardworking трудолюбивый
hare заяц
harmful "вредный, пагубный"
hastily поспешно
"have a look at sthg." просматривать
"have a shower" "принимать душ"
"have a treat" "довольствоваться, наслаждаться"
"have objection" возражать
"have to" "должен, быть должным"
heal лечить
health здоровье
hear слышать
heat "высокая температура, тепло, жара"
heater нагреватель
heavy тяжелый
"help out" выручить
her ее
here здесь
high высокий
"high time" "давно пора"
highly высоко
hill холм
hold "держать, владеть, вмещать"
hole нора
holiday "день отдыха, праздник, каникулы"
holy святой
honesty честность
honor честь
house Дом
housewife домохозяйка
how как
however "однако, впрочем, тем не менее, как бы ни, несмотря на то, несмотря на это"
hug обнимать
huge "огромный, громадный"
hungry голодный
hurry "спешить, торопиться"
"hurry up!" пошевеливайся
hurt "причинить боль, боль, вред, обида, ущерб, повредить"
hypocrisy "лицемерие, притворство"
"i am allowed (to)" "мне можно"
"i can't help it" "я ничего не могу поделать"
"i don't mean" "Я не имею в виду"
"i got used" "я привык"
i'd "я бы"
idea идея
"if you don't mind" "если ты не возражаешь"
ignition "воспламенение, зажигание"
illusion "иллюзия, несбыточная мечта"
imagine "воображать, представлять себе"
immediately "немедленно, сразу же"
impatient "нетерпеливый, нетерпимый"
important важно
"important - more important - the most important" "важный – важнее – самый важный"
impossible "невозможный, невыносимый"
impression впечатление
improve "улучшать, совершенствовать"
"in accordance with" "согласно, в соответствии с"
"in advance" "заранее, вперед"
"in any case" "во всяком случае"
"in case" "в случае"
"in fact" "на самом деле, фактически"
"in fall" осенью
"in front of" перед
"in his turn" "в свою очередь"
"In September" "В сентябре"
"in style" "в моде"
"In the afternoon" "После полудня, днем"
"In the evening" "Вечером, по вечерам"
"in the meantime" "тем временем"
"In the morning" "Утром по утрам"
"in time" вовремя
including "в том числе, включая"
incredible невероятный
indeed "действительно, в самом деле, впрямь"
indoors "в помещении, внутри дома"
influence "влияние, воздействие"
inside внутри
insome "В некоторых"
"instead of" вместо
insurance "страховка, страхование"
intention намерение
internal внутренний
interpreter переводчик
interrupt "прерывать, мешать"
"introduce oneself" представляться
invention изобретение
investigate "исследовать, расследовать"
invite приглашать
"is given much attention to" "уделяется большое внимание"
"is over" "окончен, окончена"
isn't не
issue "проблема, вопрос, спорный вопрос, издавать"
"it is unlikely that he will be able to" "Вряд ли он сможет"
"it takes me long" "это занимает у меня много времени"
item "пункт (повестки дня), предмет (в списке)"
its "ее, его, принадлежащий ему, принадлежащий ей, свой"
"it's a pity" жаль
itself "сама по себе"
join присоединяться
joke шутка
joy "радость, радоваться, притупляться"
judgment "суждение, усмотрение, приговор"
"jump, leap" прыгать
"just before" "как раз перед"
"juvenile (джувинайл)" юношеский
keep "держать, сохранять, хранить"
"keep fit" "поддерживать форму"
"keep in mind" помнить
kind добрый
kind вид
kitchen кухня
knife нож
knight рыцарь
knock стучать
knowledge знание
"lack of" "отсутствие, недостаток, нужда, не хватать, недоставать"
"lad, guy" парень
lake озеро
landscape пейзаж
large большой
last "последний, прошлый, длиться"
"last year" "В прошлом году"
late поздно
lately "за последнее время"
latter недавний
laugh "смеяться, смех"
lazy ленивый
lead "вести, руководить"
leader "лидер, руководитель"
leak течь
"learn, teach" учить
least "самый маленький"
leather кожа
leave "оставлять, забывать, покидать, бросать, заканчивать"
leg нога
leisure досуг
less "меньше, менее"
let "препятствовать, позволять, пускать"
"let down" подводить
"let me know" "сообщи мне, дай мне знать"
lever рычаг
licence разрешение
lie ложь
lie лежать
light светлый
lightning молния
like "любить, нравиться, словно, наподобие, так, как бы"
"like some" "как некоторые"
likely "вероятно, возможно"
"listen to" слушать
lively оживленный
load груз
local местный
lock "закрывать на ключ"
look "вид, взгляд, посмотреть, выглядеть"
"look for sthg." "искать что-либо"
"look here!" послушай-ка!
"look out!" "Осторожнее! Берегись!"
"look round" оглядываться
lord бог
lose "терять, утрачивать"
loud "громкий, громко"
lovely "прекрасный, красивый"
loyal "верный, преданный"
luck удача
mad сумасшедший
made сделанный
main "главный, основной"
majority большинство
make "производить, изготавливать"
"make do with sthg." "довольствоваться чем-либо"
"make out" понять
"make sure" убедиться
"make up" составить
mark "отметка, оценка"
master учитель
matter "вопрос, дело, иметь значение"
mature "зрелый, созревать"
"may be" "может быть"
meadow луг
mean "означать, среднее, середина"
meaning "смысл, значение, иметь в виду, значащий"
means "средство, способ"
medicine "медицина, лекарство"
meet "встречаться, собираться"
meeting совещание
melt таять
melting "таяние, плавление"
mention "упомянуть, упоминание"
middle середина
might мощь
mild "мягкий, незначительный"
mind "ум, мысль,возражать"
miracle чудо
miss скучать
"miss (miss the train)" "скучать, пропустить, опоздать"
mission "поручение, задание"
mistaken ошибочный
mistress хозяйка
"modesty (модести)" "скромность, сдержанность"
"Monday evening" "В понедельник вечером"
month месяц
mood "настроение, расположение духа"
moody "капризный, угрюмый, унылый"
moreover "более того"
most "больше всего, большинство, наиболее"
"most of all" "больше всего"
mostly "в основном, по большей части"
mountain гора
mouth рот
move "двигаться, движение"
"much more" "намного больше"
mushroom гриб
mystery тайна
nail гвоздь
nail гвоздь
narrow узкий
nature "природа, характер, натура"
"nearly the same" "почти такое же"
necessery необходимо
necessity необходимость
neck шея
"neglect [ni’glekt]" "пренебрегать, не заботиться"
neighbour сосед
nephew племянник
nervous нервный
nest гнездо
network сеть
never никогда
"never mind" неважно
"next week" "на следующей неделе"
nice "хороший, приятный, милый, добрый"
niece племянница
"no one" никто
"no wonder" неудивительно
nobody никто
noise шум
noisy шумный
nonsense "чепуха, ерунда"
nose нос
"not until" "до тех пор, пока не"
notice замечать
nowadays "теперь, в наши дни, в наше время"
nowhere "нигде, никуда, некуда, негде"
objection возражение
"objectively (обджективли)" объективно
obvious явный
occasion "случай, возможность, повод"
occasionally "время от времени"
occupation "занятие, род деятельности"
"of course" конечно
offer предлагать
often часто
old старый
"on account of" "вследствие, из-за"
"on foot" пешком
"on Monday" "в понедельник"
"on the whole" "в целом"
"on time" вовремя
once однажды
"one Day" "однажды, как-то"
"one should say" "следует (надо) сказать"
onto на
opening "открытие, премьера"
opinion мнение
opportunity "возможность, удобный случай"
"opposite (эпэзит)" противоположное
option вариант
order "распоряжаться, командовать"
ordinary обычный
origin "происхождение, начало"
originally первоначально
our наши
ourselves "себя, сами, себе, собой"
"out of the question" "не может быть и речи"
outlook кругозор
outward "наружу, вне, за пределы"
over "над, за, свыше,"
"over there" "Вон, там!"
overcome преодолевать
overcoming преодоление
owe "быть обязанным, быть в долгу"
own собственный
"own up" "признаться, покорно соглашаться"
pace "скорость, темп"
pack "пакет, упаковка, упаковывать"
paid оплаченный
pain боль
paint краска
pair пара
"parcel [‘pɑ:sl]" пакет
parents родители
part "часть, роль, деталь"
"part from" расставаться
participation участие
pass "проезжать, проходить (мимо)"
past "мимо, прошлое"
path "путь, тропинка"
patient "пациент, терпеливый"
"pavement [‘peivmənt]" тротуар
pay платить
"pay attention" "обращать внимание"
"pay off" выплачивать
"perfectly [‘pə:fiktli]" "идеально, замечательно"
perform "исполнять, представлять"
performance представление
perhaps наверно
permission разрешение
permit пропуск
personally лично
"persuade [pə’sweid]" уговаривать
pet "домашнее животное"
phrase фраза
"physician (физишн)" "врач, доктор, медик, терапевт"
pile куча
pillow подушка
pipe труба
pit "яма, карьер"
"pity [‘piti]" "жалеть, страдать"
place "место, положение, размещать, ставить"
plant сажать
pleasant "приятный, милый, славный"
pleasure "удовольствие, наслаждение"
plenty "много, достаточно, довольно, множество, изобилие"
pocket карман
"point of view" "точка зрения"
poison отравить
polite вежливый
pool лужа
poor бедный
"pop [pop]" "забежать к кому-либо в гости"
popularity популярность
population "население, жители"
position "должность, позиция"
possess "обладать, владеть"
possibility возможность
"possibly [‘pɔsəbli]" "может быть"
pot "чайник, горшок"
"powder [‘pɑudə]" порошок
prefer предпочитать
prepare "готовить, готовиться"
pretty "симпатичный, хорошенький, вещица, безделушка"
"prevent [pri’vent] from" "не допускать"
previous "прежний, прошлый, предыдущий"
price цена
pride "гордость, гордыня"
primary "первичный, основной"
"primary School" "начальная школа"
probably вероятно
promotion "продвижение, содействие"
pronouncing произношение
"proper [‘prɔpə]" правильный
"properly [‘prɔpəli]" "как следует, должным образом"
prophet пророк
protection "защита, покровительство"
proud "гордый, надменный"
prove "доказывать, подтверждать"
pull тянуть
punish наказывать
punishment наказание
pupils "ученик, зрачки"
push толкать
"push through" протолкнуть
put класть
"put away" прятать
"put on" надевать
quarrel "ссориться, спорить"
question вопрос
"queue [kju]" очередь
quick быстро
quiet тихий
quite довольно
rail "железная дорога, рельс"
rainy дождливый
rapid быстрый
rapidly быстро
rare редкий
rarely редко
rather "довольно, скорее"
"rather late" "довольно поздно"
reach "достигать, богатый"
reality реальность
realize "понимать, осознавать"
really действительно
reason причина
"reasonable (ризонэбл)" "разумный, резонный, обоснованный"
recently "в последнее время"
"recognize [‘rekəgnaiz]" "узнавать, распознавать"
recover восстанавливать
"reduced [ri’dju:st]" сниженный
"reduced to sthg." вынужденный
"reduction [ri'dʌkʃən]" снижение
reference "ссылка, справка, упоминание"
reflection отражение
"refrain [ri’frein] from" воздержаться
refreshment "освежение, отдых, восстановление сил"
refuse отказываться
regard "рассматривать, считать, относиться, что касается"
region область
relation "родственник, отношение"
relationship "связь, отношение"
relatives "родные, родственники"
"reliability (рэлайбилити)" надежность
reliable надежный
"rely on" "полагаться на"
remember помнить
remind напоминать
render оказывать
report "доклад, сообщить"
"require (реквае)" "требовать, нуждаться"
"research [ri’sə:tʃ]" исследование
resemble "быть похожим, походить на"
